あー,,,100,フィラー,,,*,*,*,アー,あー,あー,アー,あー,アー,*,*,*,*,*,*,*,*,アー,アー,アー,アー,*,*,*,*,*
あーとー,,,100,フィラー,,,*,*,*,アートー,あーとー,あーとー,アートー,あーとー,アートー,*,*,*,*,*,*,*,*,アートー,アートー,アートー,アートー,*,*,*,*,*
あーのー,,,100,フィラー,,,*,*,*,アーノー,あーのー,あーのー,アーノー,あーのー,アーノー,*,*,*,*,*,*,*,*,アーノー,アーノー,アーノー,アーノー,*,*,*,*,*
あーんのー,,,100,フィラー,,,*,*,*,アーンノー,あーんのー,あーんのー,アーンノー,あーんのー,アーンノー,*,*,*,*,*,*,*,*,アーンノー,アーンノー,アーンノー,アーンノー,*,*,*,*,*
あちゃー,,,100,フィラー,,,*,*,*,アチャー,あちゃー,あちゃー,アチャー,あちゃー,アチャー,*,*,*,*,*,*,*,*,アチャー,アチャー,アチャー,アチャー,*,*,*,*,*
あっとー,,,100,フィラー,,,*,*,*,アットー,あっとー,あっとー,アットー,あっとー,アットー,*,*,*,*,*,*,*,*,アットー,アットー,アットー,アットー,*,*,*,*,*
あとー,,,100,フィラー,,,*,*,*,アトー,あとー,あとー,アトー,あとー,アトー,*,*,*,*,*,*,*,*,アトー,アトー,アトー,アトー,*,*,*,*,*
あのー,,,100,フィラー,,,*,*,*,アノー,あのー,あのー,アノー,あのー,アノー,*,*,*,*,*,*,*,*,アノー,アノー,アノー,アノー,*,*,*,*,*
あのねー,,,100,フィラー,,,*,*,*,アノネー,あのねー,あのねー,アノネー,あのねー,アノネー,*,*,*,*,*,*,*,*,アノネー,アノネー,アノネー,アノネー,*,*,*,*,*
あらー,,,100,フィラー,,,*,*,*,アラー,あらー,あらー,アラー,あらー,アラー,*,*,*,*,*,*,*,*,アラー,アラー,アラー,アラー,*,*,*,*,*
あれー,,,100,フィラー,,,*,*,*,アレー,あれー,あれー,アレー,あれー,アレー,*,*,*,*,*,*,*,*,アレー,アレー,アレー,アレー,*,*,*,*,*
あんのー,,,100,フィラー,,,*,*,*,アンノー,あんのー,あんのー,アンノー,あんのー,アンノー,*,*,*,*,*,*,*,*,アンノー,アンノー,アンノー,アンノー,*,*,*,*,*
うー,,,100,フィラー,,,*,*,*,ウー,うー,うー,ウー,うー,ウー,*,*,*,*,*,*,*,*,ウー,ウー,ウー,ウー,*,*,*,*,*
